schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17
9,Washington University,0,0,0,0,1,0,0,0,0
9,university of pennsylvania,0,0,0,0,0,1,0,0,0
9,Yale University,0,0,0,0,0,1,0,0,0
9,New York University,0,0,0,0,0,0,0,1,0
9,기타 외국대,0,0,0,0,0,0,0,0,4
10,카이스트,0,0,1,0,1,0,0,1,0
10,University of Minnesota,0,0,0,0,1,0,0,0,0
11,카이스트,10,4,1,3,1,0,3,2,0
11,Peking University,0,0,0,0,1,0,1,1,0
11,Waseda University,0,0,0,1,0,0,2,0,0
11,Princeton University,0,0,1,0,0,0,0,0,0
11,Emory University,0,0,0,1,0,0,0,0,0
12,건국대,1,0,0,0,1,0,0,0,0
12,경북대,0,1,0,0,0,0,0,0,0
12,경상대,0,1,0,0,0,0,0,0,0
12,경찰대,1,0,1,1,0,2,0,0,0
12,경희대,1,0,0,1,2,2,0,2,0
12,고려대,7,11,10,7,9,10,14,7,0
12,공주교대,0,0,0,0,1,0,0,0,0
12,광운대,0,0,0,0,1,0,0,0,0
12,국민대,0,0,0,0,1,0,0,1,0
12,단국대,0,0,1,0,0,0,0,0,0
12,대구한의대,0,0,0,0,1,0,0,0,0
12,동국대,0,0,0,0,0,0,0,1,0
12,명지대,0,0,0,0,0,0,0,1,0
12,서강대,4,3,6,7,6,2,5,5,0
12,서울대,7,8,4,12,7,10,11,10,0
12,서울시립대,1,0,0,0,0,0,1,0,0
12,서울여대,1,0,0,0,0,0,0,0,0
12,성균관대,1,4,6,6,4,3,4,5,0
12,세종대,0,0,0,0,0,0,0,1,0
12,숙명여대,1,1,0,1,1,0,1,1,0
12,아주대,2,4,6,4,3,5,4,4,0
12,연세대,11,9,8,8,6,9,4,6,0
12,영남대,0,1,0,0,0,0,0,0,0
12,울산대,1,0,0,0,0,0,0,0,0
12,원광대,1,0,0,1,0,1,0,0,0
12,원광디지털대,0,0,0,0,0,0,0,1,0
12,육군사관학교,0,0,1,0,0,0,0,0,0
12,이화여대,2,7,2,3,7,0,3,0,0
12,인천대,0,0,1,0,0,0,0,0,0
12,인하대,1,0,0,0,0,0,0,1,0
12,제주대,0,0,1,0,0,0,0,0,0
12,조선대,0,0,1,0,0,0,0,0,0
12,중앙대,2,0,2,0,0,1,0,3,0
11,MCGILL University,0,0,0,1,0,0,0,0,0
12,한국교원대,0,0,0,0,0,0,0,1,0
12,한국외대,2,0,1,0,0,1,0,0,0
12,한동대,1,0,0,0,0,0,0,0,0
12,한양대,2,2,3,3,2,3,4,2,0
12,홍익대,0,1,1,1,1,0,0,1,0
11,Northwester University,0,0,0,1,0,0,0,0,0
11,ritsumeikan asia pacific university,0,1,0,0,0,0,0,0,0
13,서울시립대,0,1,0,1,0,2,0,0,0
13,성균관대,0,1,0,3,1,0,1,1,0
13,순천향대,0,0,0,0,0,0,1,0,0
13,숙명여대,1,0,1,1,0,0,0,0,0
13,아주대,0,0,1,0,0,0,0,0,0
13,연세대,66,62,69,59,63,71,67,71,0
13,이화여대,2,6,6,2,2,1,2,0,0
13,전남대,0,1,0,1,0,0,0,0,0
13,중앙대,0,0,1,0,0,0,0,0,0
13,충남대,0,1,0,0,0,0,0,0,0
13,포항공대,0,2,2,2,3,2,0,1,0
13,학점은행,0,0,0,1,0,0,1,0,0
11,Pennsylvania state University,0,1,0,0,0,0,0,0,0
