schoolindex,school,y9,y10,y11,y12,y13,y14,y15,y16,y17,sum
11,경희대,0,2,4,3,1,1,1,2,0,14
11,고려대,12,16,14,19,6,5,8,4,0,84
11,기타 대학,1,0,0,0,0,0,0,0,0,1
11,기타 대학,0,0,0,0,0,0,0,1,0,1
11,동국대,0,1,0,0,0,0,0,0,0,1
11,기타 대학,0,0,1,0,0,0,0,0,0,1
11,기타 대학,0,0,1,0,0,0,0,0,0,1
11,부산대,0,1,3,1,2,1,0,1,0,9
11,기타 대학,1,0,0,0,0,0,0,0,0,1
11,서강대,4,3,4,2,2,1,1,5,0,22
11,기타 대학,1,0,0,0,0,0,0,0,0,1
11,서울대,50,38,16,30,31,26,31,34,0,256
11,서울시립대,1,1,1,2,0,2,0,1,0,8
11,성균관대,18,19,27,36,63,64,51,38,0,316
11,기타 대학,0,0,0,0,0,0,0,1,0,1
11,기타 대학,0,0,1,0,0,0,0,0,0,1
11,숙명여대,0,0,2,0,0,1,0,0,0,3
11,기타 대학,1,1,2,0,0,0,0,0,0,4
11,연세대,8,18,12,12,7,7,16,14,0,94
11,기타 대학,1,0,0,1,0,0,0,0,0,2
11,기타 대학,0,0,1,0,0,0,0,0,0,1
11,기타 대학,0,0,0,2,0,0,0,0,0,2
11,이화여대,1,2,11,0,2,4,4,3,0,27
11,기타 대학,0,0,1,0,0,0,0,0,0,1
11,전남대,0,1,0,1,0,0,0,0,0,2
11,기타 대학,0,0,1,0,0,0,0,0,0,1
11,중앙대,0,2,2,2,1,2,2,4,0,15
11,기타 대학,0,1,0,0,0,0,0,0,0,1
11,충남대,0,1,1,0,0,0,0,0,0,2
11,기타 대학,4,1,0,0,1,2,0,0,0,8
11,기타 대학,0,0,0,0,1,0,1,0,0,2
9,해외대,1,0,0,0,0,0,0,0,0,1
11,한국외대,2,3,5,4,1,0,1,1,0,17
11,한동대,0,1,2,0,1,0,0,1,0,5
11,한양대,1,2,5,0,1,3,0,4,0,16
11,기타 대학,0,0,0,0,0,1,0,0,0,1
11,홍익대,0,0,0,0,1,0,0,0,0,1
9,해외대,0,1,1,0,0,0,0,0,0,2
9,해외대,0,1,0,0,0,1,1,0,0,3
9,해외대,0,0,0,1,0,0,0,1,0,2
9,해외대,0,0,0,1,1,1,0,0,0,3
9,해외대,0,0,1,0,0,0,0,0,0,1
9,해외대,1,0,0,0,0,0,0,0,0,1
9,해외대,0,0,1,0,0,0,0,0,0,1
9,해외대,0,0,0,0,1,0,0,0,0,1
9,해외대,0,0,0,0,0,1,0,0,0,1
9,해외대,0,0,0,0,0,1,0,0,0,1
9,해외대,0,0,0,0,0,0,0,1,0,1
9,해외대,0,0,0,0,0,0,0,0,4,4
10,카이스트,0,0,1,0,1,0,0,1,0,3
10,해외대,0,0,0,0,1,0,0,0,0,1
11,카이스트,10,4,1,3,1,0,3,2,0,24
11,해외대,0,0,0,0,1,0,1,1,0,3
11,해외대,0,0,0,1,0,0,2,0,0,3
11,해외대,0,0,1,0,0,0,0,0,0,1
11,해외대,0,0,0,1,0,0,0,0,0,1
12,건국대,1,0,0,0,1,0,0,0,0,2
12,경북대,0,1,0,0,0,0,0,0,0,1
12,기타 대학,0,1,0,0,0,0,0,0,0,1
12,경찰대,1,0,1,1,0,2,0,0,0,5
12,경희대,1,0,0,1,2,2,0,2,0,8
12,고려대,7,11,10,7,9,10,14,7,0,75
12,기타 대학,0,0,0,0,1,0,0,0,0,1
12,기타 대학,0,0,0,0,1,0,0,0,0,1
12,기타 대학,0,0,0,0,1,0,0,1,0,2
12,기타 대학,0,0,1,0,0,0,0,0,0,1
12,기타 대학,0,0,0,0,1,0,0,0,0,1
12,동국대,0,0,0,0,0,0,0,1,0,1
12,기타 대학,0,0,0,0,0,0,0,1,0,1
12,서강대,4,3,6,7,6,2,5,5,0,38
12,서울대,7,8,4,12,7,10,11,10,0,69
12,서울시립대,1,0,0,0,0,0,1,0,0,2
12,기타 대학,1,0,0,0,0,0,0,0,0,1
12,성균관대,1,4,6,6,4,3,4,5,0,33
